;Syndromes visibles/evidents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Problèmes respiratoires;Problèmes respiratoires;Problèmes respiratoires;Problèmes respiratoires;Problèmes respiratoires;Problèmes respiratoires;Problèmes respiratoires;Problèmes digestifs;Problèmes digestifs;Problèmes digestifs;Problèmes digestifs;Problèmes digestifs;Problèmes digestifs;Problèmes digestifs;Problèmes digestifs;Cardiovasculaire;Cardiovasculaire;Cardiovasculaire;Cardiovasculaire;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Vision;Vision;Vision;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Syndrome Infectieux;Digestif;Digestif;Digestif;Digestif;Digestif;Digestif;Digestif;Digestif;Digestif;Cardiovasculaire;Cardiovasculaire;Cardiovasculaire;Cardiovasculaire;Cardiovasculaire;Cardiovasculaire;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cerveau / Neurologie;Cutané / Epidermique;Cutané / Epidermique;Cutané / Epidermique;Vision;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fièvre;Maux de tête;Fatigue;Myalgie (douleurs musculaires);Arthralgie (douleurs articulaires);Frissons;Sueurs nocturnes;Etat de choc;Gonflement machoire;Engourdissement jambes /bras;Enflure mains / chevilles / jambes;Crampes;Difficultés à marcher;Paleur;Elephantiatis;Adénopathie (gonflement ganglions lymphatiques);Pharyngite;Etourdissements;Faiblesse d'un coté du corps;Fourmillements;Courbatures;Toux;Saignement nez;Difficulté à respirer;Production de glaires;Ecoulement nasal;Augmentation rythme respiratoire;Maux de gorge;Amaigrissement;Vomissement;Douleur abdominale;Diarrhée;Jaunisse;Nausées;Méléna;Diarrhée hémorragique;Douleur poitrine;Essoufflement;Hémorragie;Perte de connaissance;Nervosité;Paralysie;Perte motricité;Perte de la sensibilité;Trouble du language;Perte partielle/totale d'un membre;Eruptions cutanées;Lésion cutanée;Lichénification;Nodule;Dépigmentation;Ulcération;Rougeurs;Cicatrice;Petits boutons rouges indolores;Démangeaisons;Urticaire allergique;Signe de Koplik;Bubons;Conjonctivite;Perte de la vue;Troubles de la vision;Adénopathie (gonflement ganglions lymphatiques);Pharyngite;Etourdissements;Faiblesse d'un coté du corps;Fourmillements;Courbatures;Hépatomégalie (augmentation volume foie);Splénomégalie (augmentation volume rate);Oligurie (production basse urine);Soif excessive;Déshydratation;Hypersalivation;Inflammation epididyme;Faim excessive ;Urines abondantes;Anémie;Coagulopathie;Bradycardie;Tachycardie;Hypotension artérielle;Choc septique;Neuropathie périphérique;Trouble neurologique;Oedeme cérébral;Encéphalite;Anorexie;Photophobie;Hallucinations;Irritabilité;Phonophobie;Troubles du sommeil;Troubles de la coordination;Nécrose;Tuméfaction;Oedeme;Mydriase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tuberculose;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;Tabagisme;Malnutrition;Pauvre hygiène;Consommation alcool;Consommation drogue;Piqure moustique;Transfusion sanguine récente;Diabète;Contact avec un rongeur;Contact avec la faune sauvage;Piqure d'insecte;Piqure de mouche;Morsure / Griffure ;Mauvaise hygiène bucco-dentaire;Mauvais état de santé général;Eau contaminée;Stress;Sédentarité;Surpoids / obésité;Petite puce sous la peau ;Ver au niveau d'une vésicule;Maladies cardiaques;Excès de cholésterol;Rapport sexuel non protégé;Traitement;Moyenne_age_F;Moyenne_age_M;Moyenn_poids_F;Moyenne_poids_M;;;;;;;;
Ebola (FHV) ;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Association antibiotiques et chimio thérapeutique pendant 3 à 6 mois minimum;20-40;20-40;;;;;;;;;;
Malaria;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Soins intensifs pour traiter kes symptomes, traitements basés sur anticorps monoclonaux;18-+;18-+;;;;;;;;;;
Onchocercose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Quinine IV relayée dès que possible par antipaludique oral à dose curative, ou artésunate IV. Malarone ou eurartésim (4 comprimés par jour pendant 3 jours) ??;0-5;0-5;;;;;;;;;;
VIH/sida;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ivermectine au moins 1/an sur une période de 10 à 15 ans, jusqu'à disparition des symptomes;16-26;16-26;;;;;;;;;;
AVC;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Antirétroviraux à vie;20-29;30-39;;;;;;;;;;
Cardiopathie ischémique;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;Médicaments antiagrégants plaquettaires( tPA, aspirine ou clopidogrel ou ticlopidine) ou chirurgie;45-64,85+;45-64,85+;;;;;;;;;;
IRI (infections des voies respiratoires inférieures);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;;0;1;1;0;Traitements antiangineux (bêtabloquants, inhibiteurs calciques) ou chirurgie (pontage coronarien ou angioplastie percutanée);60+;50+;;;;;;;;;;
